lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-09-26 13:31:33.253896,0.07279564440250397,0.00024742979439906776,0.07279564440250397,2999.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:31:59.171568,,,,,,,,,,,,,,
,2022-09-26 13:31:59.691858,0.023196443915367126,9.955767018254846e-05,0.023196443915367126,3049.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:32:25.528626,,,,,,,,,,,,,,
,2022-09-26 13:32:26.049504,0.0381876602768898,0.00014475418720394373,0.0381876602768898,3099.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:32:51.914064,,,,,,,,,,,,,,
,2022-09-26 13:32:52.434615,0.16756092011928558,0.00059569685254246,0.16756092011928558,3149.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:33:18.262887,,,,,,,,,,,,,,
,2022-09-26 13:33:18.798013,0.02307296171784401,9.683162352303043e-05,0.02307296171784401,3199.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:33:44.606599,,,,,,,,,,,,,,
,2022-09-26 13:33:45.126800,0.1130240187048912,0.0003727634612005204,0.1130240187048912,3249.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:34:10.990122,,,,,,,,,,,,,,
,2022-09-26 13:34:11.511580,0.11704263091087341,0.00038515255437232554,0.11704263091087341,3299.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:34:37.396793,,,,,,,,,,,,,,
,2022-09-26 13:34:37.917064,0.011187455616891384,5.163308378541842e-05,0.011187455616891384,3349.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:35:03.783839,,,,,,,,,,,,,,
,2022-09-26 13:35:04.304039,0.07172557711601257,0.00024117330031003803,0.07172557711601257,3399.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:35:30.184922,,,,,,,,,,,,,,
,2022-09-26 13:35:30.704398,0.002902629319578409,1.7384023522026837e-05,0.002902629319578409,3449.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:35:56.554653,,,,,,,,,,,,,,
,2022-09-26 13:36:26.948061,0.19322368502616882,0.0007002356578595936,0.19322368502616882,3499.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:36:52.901735,,,,,,,,,,,,,,
,2022-09-26 13:36:53.429660,0.47468826174736023,0.010678797960281372,0.47468826174736023,3549.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:37:19.301923,,,,,,,,,,,,,,
,2022-09-26 13:37:19.822965,0.08762355148792267,0.00029000884387642145,0.08762355148792267,3599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:37:45.696724,,,,,,,,,,,,,,
,2022-09-26 13:37:46.218176,0.07459219545125961,0.00024590943939983845,0.07459219545125961,3649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:38:12.075561,,,,,,,,,,,,,,
,2022-09-26 13:38:12.595994,0.16079583764076233,0.0007277594995684922,0.16079583764076233,3699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:38:38.538352,,,,,,,,,,,,,,
,2022-09-26 13:38:39.059579,0.03468787670135498,0.00013706379104405642,0.03468787670135498,3749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:39:04.945457,,,,,,,,,,,,,,
,2022-09-26 13:39:05.494240,0.23343640565872192,0.0014614486135542393,0.23343640565872192,3799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:39:31.322232,,,,,,,,,,,,,,
,2022-09-26 13:39:31.842723,0.06810612976551056,0.0002274611033499241,0.06810612976551056,3849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:39:57.739856,,,,,,,,,,,,,,
,2022-09-26 13:39:58.263442,0.3197033703327179,0.0031844410113990307,0.3197033703327179,3899.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:40:24.192550,,,,,,,,,,,,,,
,2022-09-26 13:40:24.712358,0.014234181493520737,6.424605089705437e-05,0.014234181493520737,3949.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:40:50.567587,,,,,,,,,,,,,,
,2022-09-26 13:41:20.725941,0.12791109085083008,0.0004228030447848141,0.12791109085083008,3999.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:41:46.598535,,,,,,,,,,,,,,
,2022-09-26 13:41:47.122618,0.07408279180526733,0.00025227630976587534,0.07408279180526733,4049.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:42:12.984842,,,,,,,,,,,,,,
,2022-09-26 13:42:13.505665,0.017018377780914307,7.160881796153262e-05,0.017018377780914307,4099.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:42:39.348685,,,,,,,,,,,,,,
,2022-09-26 13:42:39.871691,0.013708962127566338,6.128042150521651e-05,0.013708962127566338,4149.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:43:05.719986,,,,,,,,,,,,,,
,2022-09-26 13:43:06.239913,0.18778494000434875,0.0007431955891661346,0.18778494000434875,4199.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:43:32.186556,,,,,,,,,,,,,,
,2022-09-26 13:43:32.713718,0.0804397389292717,0.00026435195468366146,0.0804397389292717,4249.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:43:58.598790,,,,,,,,,,,,,,
,2022-09-26 13:43:59.119618,0.21234768629074097,0.0008780871867202222,0.21234768629074097,4299.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:44:25.034558,,,,,,,,,,,,,,
,2022-09-26 13:44:25.553994,0.0036566187627613544,2.1003592337365262e-05,0.0036566187627613544,4349.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:44:51.355043,,,,,,,,,,,,,,
,2022-09-26 13:44:51.875910,0.0036811139434576035,2.096163370879367e-05,0.0036811139434576035,4399.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:45:17.752776,,,,,,,,,,,,,,
,2022-09-26 13:45:18.275346,0.011554829776287079,5.725828305003233e-05,0.011554829776287079,4449.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:45:44.139549,,,,,,,,,,,,,,
,2022-09-26 13:46:14.456671,0.4469202160835266,0.006181720644235611,0.4469202160835266,4499.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:46:40.379564,,,,,,,,,,,,,,
,2022-09-26 13:46:40.901206,0.20874199271202087,0.0008298981701955199,0.20874199271202087,4549.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:47:06.858681,,,,,,,,,,,,,,
,2022-09-26 13:47:07.379882,0.1853165328502655,0.0006202900549396873,0.1853165328502655,4599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:47:33.328620,,,,,,,,,,,,,,
,2022-09-26 13:47:33.850981,0.013133185915648937,6.13850643276237e-05,0.013133185915648937,4649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:47:59.698293,,,,,,,,,,,,,,
,2022-09-26 13:48:00.221693,0.023136252537369728,9.287708235206082e-05,0.023136252537369728,4699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:48:26.136026,,,,,,,,,,,,,,
,2022-09-26 13:48:26.657664,0.03166872262954712,0.00012365549628157169,0.03166872262954712,4749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:48:52.565671,,,,,,,,,,,,,,
,2022-09-26 13:48:53.086488,0.1926363855600357,0.0007022868958301842,0.1926363855600357,4799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:49:18.985354,,,,,,,,,,,,,,
,2022-09-26 13:49:19.509919,0.2098435014486313,0.0008286369848065078,0.2098435014486313,4849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:49:45.455224,,,,,,,,,,,,,,
,2022-09-26 13:49:45.976107,0.30397409200668335,0.0024939384311437607,0.30397409200668335,4899.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:50:11.881096,,,,,,,,,,,,,,
,2022-09-26 13:50:12.402831,0.029209468513727188,0.00011391906446078792,0.029209468513727188,4949.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:50:38.269195,,,,,,,,,,,,,,
,2022-09-26 13:51:08.755291,0.014851721003651619,6.740622484358028e-05,0.014851721003651619,4999.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:51:34.674438,,,,,,,,,,,,,,
,2022-09-26 13:51:35.197098,0.17477133870124817,0.0006463146419264376,0.17477133870124817,5049.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:52:01.134732,,,,,,,,,,,,,,
,2022-09-26 13:52:01.656113,0.0374118834733963,0.0001450605341233313,0.0374118834733963,5099.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:52:27.569089,,,,,,,,,,,,,,
,2022-09-26 13:52:28.099186,0.2722334861755371,0.0016490309499204159,0.2722334861755371,5149.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:52:53.944655,,,,,,,,,,,,,,
,2022-09-26 13:52:54.465873,0.47413212060928345,0.02057550475001335,0.47413212060928345,5199.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:53:20.371876,,,,,,,,,,,,,,
,2022-09-26 13:53:20.892991,0.2765006422996521,0.0013276266399770975,0.2765006422996521,5249.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:53:46.704868,,,,,,,,,,,,,,
,2022-09-26 13:53:47.226493,0.21413275599479675,0.00085930508794263,0.21413275599479675,5299.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:54:13.179636,,,,,,,,,,,,,,
,2022-09-26 13:54:13.701089,0.1729917824268341,0.0007044228841550648,0.1729917824268341,5349.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:54:39.589338,,,,,,,,,,,,,,
,2022-09-26 13:54:40.121434,0.07232266664505005,0.00024356618814636022,0.07232266664505005,5399.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:55:06.060250,,,,,,,,,,,,,,
,2022-09-26 13:55:06.581350,0.25795918703079224,0.0015333305345848203,0.25795918703079224,5449.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:55:32.531627,,,,,,,,,,,,,,
,2022-09-26 13:56:02.952127,0.17442940175533295,0.0006950784591026604,0.17442940175533295,5499.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:56:28.890524,,,,,,,,,,,,,,
,2022-09-26 13:56:29.420505,0.05834884196519852,0.00020554772345349193,0.05834884196519852,5549.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:56:55.270607,,,,,,,,,,,,,,
